ak_plant_id,eia_plant_id,pce_reporting_id,plant_name,operator_ak_operator_id,eia_operator_id,operator_operator_name,intertie_current_intertie_id,intertie_current_intertie_name,combined_heat_power,grid_primary_voltage_kv,grid_primary_voltage2_kv,phases,latitude,longitude,notes
P192,,332160.0,Kwigillingok,AK-OP-051,,Kwigillingok Power Company,138-0000,Kwigillingok_grid,True,7.2,,3.0,59.86393,-163.13322,
P233,,332510.0,Kongiganak,AK-OP-078,,Puvurnaq Power Company,176-0000,Kongiganak_grid,True,7.2,,3.0,59.88,-163.054,
P162,7183.0,332050.0,Newhalen,AK-OP-040,9188.0,"I-N-N Electric Coop, Inc",123-1983,Newhalen_grid,True,2.5, ,3.0,59.899054,-154.698735,
P178,,332080.0,Kipnuk,AK-OP-044,,Kipnuk Light Plant,132-0000,Kipnuk_grid,,7.2,,3.0,59.93889,-164.04139,
P115,,331850.0,Chenega Bay,AK-OP-020,,Chenega Ira Council,101-0000,Chenega_grid,True,7.2,,3.0,60.06571,-148.01038,
P239,92.0,,Seward,AK-OP-111,16955.0,"Seward, City of",215-1985,Railbelt_grid,False,150.0, ,3.0,60.130922,-149.43501,
P210,,332310.0,Chefornak,AK-OP-062,,Naterkaq Light Plant (City of Chefornak),154-0000,Chefornak_grid,True,7.2,,3.0,60.16,-164.26583,
P248,,332590.0,Port Alsworth,AK-OP-085,,Tanalian Electric Cooperative,183-0000,Port Alsworth_grid,True,7.2,,3.0,60.2025,-154.31278,
P80,6312.0,331290.0,Eek,AK-OP-006,221.0,Alaska Village Electric Cooperative,041-0000,Eek_grid,True,7.2,,1.0,60.21889,-162.02444,
P259,,332720.0,Tuntutuliak,AK-OP-094,,Tuntutuliak Community,191-0000,Tuntutuliak_grid,True,7.2,,3.0,60.34306,-162.66306,
P87,6327.0,331450.0,Mekoryuk,AK-OP-006,221.0,Alaska Village Electric Cooperative,062-0000,Mekoryuk_grid,True,7.2,,3.0,60.38806,-166.185,
P121,6291.0,,Cooper Lake,AK-OP-132,3522.0,Chugach Electric Assn Inc,215-1985,Railbelt_grid,False,69.0, ,3.0,60.392331,-149.665603,
P89,,331490.0,Nightmute,AK-OP-006,221.0,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,False,7.2,,1.0,60.47944,-164.72389,
P159,4252.0,,Soldotna,AK-OP-170,288.0,Alaska Electric G & T Coop Inc,215-1985,Railbelt_grid,False,115.0, ,3.0,60.499444,-150.997222,
P159,57206.0,,Soldotna,AK-OP-105,19558.0,Homer Electric Assn Inc,215-1985,Railbelt_grid,False,115.0, ,3.0,60.499444,-150.997222,
P76,6349.0,331700.0,Toksook Bay,AK-OP-006,221.0,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,True,13.47, ,3.0,60.530142,-165.108575,
P76,57067.0,331700.0,Toksook Bay,AK-OP-006,221.0,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,True,13.47, ,3.0,60.530142,-165.108575,
P131,62714.0,,Eyak Service Center BESS,AK-OP-027,40215.0,Cordova Electric Cooperative,014-1990,Cordova_grid,False,13.0,,3.0,60.54047,-145.74079,
P133,789.0,,Orca,AK-OP-027,40215.0,Cordova Electric Cooperative,014-1990,Cordova_grid,False,13.0, ,3.0,60.555889,-145.752983,
P292,,331920.0,"Cordova, Eyak",AK-OP-027,40215.0,Cordova Electric Cooperative,014-1990,Cordova_grid,False,13.0,,3.0,60.555889,-145.752983,"Includes EIA: Orca, Humpback Creek, Power Creek, Eyak Service Center BESS"
P97,6350.0,331710.0,Tununak,AK-OP-006,221.0,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,False,7.2,,1.0,60.58513,-165.25549,
P134,7862.0,,Power Creek,AK-OP-027,40215.0,Cordova Electric Cooperative,014-1990,Cordova_grid,False,13.0, ,3.0,60.588686,-145.604539,
P132,7042.0,,Humpback Creek,AK-OP-027,40215.0,Cordova Electric Cooperative,014-1990,Cordova_grid,False,13.0, ,3.0,60.612822,-145.679411,
P1,54452.0,,Agrium Kenai Nitrogen Operations,AK-OP-121,179.0,Agrium US Inc,215-1985,Railbelt_grid,False,24.8,,3.0,60.6732,-151.3784,
P157,55966.0,,Nikiski Co-Generation,AK-OP-105,19558.0,Homer Electric Assn Inc,215-1985,Railbelt_grid,False,115.0, ,3.0,60.676539,-151.377713,
P257,52184.0,,Tesoro Kenai Cogeneration Plant,AK-OP-125,18617.0,Tesoro Alaska Company,215-1985,Railbelt_grid,True,25.0, ,3.0,60.677,-151.3815,
P155,6292.0,,Bernice Lake,AK-OP-105,19558.0,Homer Electric Assn Inc,215-1985,Railbelt_grid,False,69.0,115,3.0,60.6935,-151.3874,
P209,,332300.0,Napaskiak,AK-OP-061,,Napaskiak Electric Utility,153-0000,Napaskiak_grid,False,7.2,,3.0,60.70806,-161.76611,
P47,6566.0,331800.0,Bethel,AK-OP-006,221.0,Alaska Village Electric Cooperative,034-1988,Bethel_grid,False,2.4, ,3.0,60.7897,-161.787778,
P191,,332150.0,Kwethluk,AK-OP-050,,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,137-0000,Kwethluk_grid,True,7.2,,3.0,60.81222,-161.43583,
P250,,332610.0,Tatitlek,AK-OP-087,,Tatitlek Village Ira Council,185-0000,Tatitlek_grid,True,,,,60.86472,-146.67861,
P108,,331780.0,Atmautluak,AK-OP-012,,Atmautluak Tribal Utilities,096-0000,Atmautluak_grid,True,7.2,,3.0,60.86694,-162.27306,
P54,57066.0,331390.0,Kasigluk,AK-OP-006,221.0,Alaska Village Electric Cooperative,055-0000,Kasigluk_grid,True,13.47, ,3.0,60.8731,-162.5197,
P64,6333.0,331530.0,Nunapitchuk,AK-OP-006,221.0,Alaska Village Electric Cooperative,204-0000,Nunapitchuk_grid,False,12.5, ,3.0,60.89588,-162.459756,
P3,,331020.0,Akiachak,AK-OP-003,,Akiachak Native Community,002-0000,Akiachak_grid,True,7.2,,,60.90944,-161.43139,
P4,,331030.0,Akiak,AK-OP-002,,Akiak City Council,003-0000,Akiak_grid,True,7.2,,3.0,60.91222,-161.21389,
P265,,332870.0,Newtok,AK-OP-099,,Ungusraq Power Company,196-0000,Newtok_grid,True,7.2,,3.0,60.94278,-164.62944,
P128,390.0,,Solomon Gulch,AK-OP-103,4329.0,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,False,14.4,138,3.0,61.0828,-146.3033,
P130,7841.0,,Valdez Cogen,AK-OP-103,4329.0,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,True,14.4,138,3.0,61.0839,-146.2529,
P126,58982.0,,Allison Creek Hydro,AK-OP-103,4329.0,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,False,14.4,138,3.0,61.084444,-146.353333,
P258,,332710.0,Tuluksak,AK-OP-093,,Tuluksak Traditional,190-0000,Tuluksak_grid,False,7.2,,3.0,61.1025,-160.96167,
P142,58425.0,,Fire Island Wind,AK-OP-115,58422.0,Fire Island Wind LLC,215-1985,Railbelt_grid,False,34.5, ,3.0,61.13,-150.243611,
P129,6306.0,,Valdez,AK-OP-103,4329.0,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,False,138.0,14.4,3.0,61.1303,-146.3647,
P123,57036.0,,Southcentral Power Project,AK-OP-132,3522.0,Chugach Electric Assn Inc,215-1985,Railbelt_grid,False,138.0, ,3.0,61.167417,-149.905304,
P122,6293.0,,International,AK-OP-132,3522.0,Chugach Electric Assn Inc,215-1985,Railbelt_grid,False,138.0, ,3.0,61.168972,-149.911038,
P120,96.0,,Beluga,AK-OP-132,3522.0,Chugach Electric Assn Inc,215-1985,Railbelt_grid,False,138.0, ,3.0,61.1861,-151.0356,
P101,75.0,,Anchorage 1,AK-OP-132,3522.0,Chugach Electric Assn Inc,215-1985,Railbelt_grid,False,115.0, ,3.0,61.2221,-149.8661,
P103,6559.0,,George M Sullivan Generation Plant 2,AK-OP-132,3522.0,Chugach Electric Assn Inc,215-1985,Railbelt_grid,False,115.0, ,3.0,61.229713,-149.716744,
P138,58380.0,,JBER Landfill Gas Power Plant,AK-OP-122,58368.0,Doyon Utilities LLC,215-1985,Railbelt_grid,False,34.5, ,3.0,61.286,-149.61,
P195,,332190.0,Lime Village,AK-OP-054,,Lime Village Electric Utility,141-0000,Lime Village_grid,False,,,,61.35639,-155.43556,
P197,58989.0,,Eklutna Generation Station,AK-OP-107,11824.0,Matanuska Electric Association,215-1985,Railbelt_grid,False,115.0, ,3.0,61.457778,-149.351389,
P102,77.0,,Eklutna Hydro Project,AK-OP-175,,Municipality of Anchorage d/b/a Anchorage Hydropower ,215-1985,Railbelt_grid,False,115.0, ,3.0,61.475211,-149.15009,
P119,,331890.0,Chitina,AK-OP-024,,Chitina Electric Inc,105-0000,Chitina_grid,True,7.2,,3.0,61.51583,-144.43694,
P49,6311.0,331280.0,Chevak,AK-OP-006,221.0,Alaska Village Electric Cooperative,040-0000,Chevak_grid,True,12.5, ,3.0,61.525297,-165.590152,
P77,57054.0,331720.0,Upper Kalskag,AK-OP-006,221.0,Alaska Village Electric Cooperative,052-2005,Upper Kalskag_grid,False,13.47, ,3.0,61.526858,-160.348128,
P53,6319.0,331360.0,Hooper Bay,AK-OP-006,221.0,Alaska Village Electric Cooperative,050-0000,Hooper Bay_grid,True,12.5, ,3.0,61.530858,-166.101944,
P202,,332230.0,Chuathbaluk,AK-OP-058,,Middle Kuskokwim Electric,144-0000,Chuathbaluk_grid,False,7.2,,3.0,61.57194,-159.245,
P105,7182.0,331760.0,Aniak,AK-OP-009,4959.0,Aniak Light & Power,093-0000,Aniak_grid,False,2.4, ,3.0,61.580678,-159.535643,
P235,66887.0,,Houston Solar,AK-OP-151,65807.0,"Energy 49, LLC",215-1985,Railbelt_grid,False,24.9,,3.0,61.59,-149.79,
P205,,332260.0,Sleetmute,AK-OP-058,,Middle Kuskokwim Electric,147-0000,Sleetmute_grid,True,7.2,,3.0,61.7025,-157.16972,
P204,,332250.0,Red Devil,AK-OP-058,,Middle Kuskokwim Electric,146-0000,Red Devil_grid,False,7.2,,,61.76111,-157.3125,
P206,,332270.0,Stony River,AK-OP-058,,Middle Kuskokwim Electric,148-0000,Stony River_grid,True,7.2,,3.0,61.78306,-156.58806,
P93,7049.0,331580.0,Russian Mission,AK-OP-006,221.0,Alaska Village Electric Cooperative,072-0000,Russian Mission_grid,True,7.2,,3.0,61.785,-161.32028,
P69,6342.0,331600.0,Scammon Bay,AK-OP-006,221.0,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,True,13.47, ,3.0,61.843036,-165.581497,
P69,57056.0,331600.0,Scammon Bay,AK-OP-006,221.0,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,True,13.47, ,3.0,61.843036,-165.581497,
P203,,332240.0,Crooked Creek,AK-OP-058,,Middle Kuskokwim Electric,145-0000,Crooked Creek_grid,True,7.2,,3.0,61.87,-158.11083,
P59,6326.0,331440.0,Marshall,AK-OP-006,221.0,Alaska Village Electric Cooperative,061-0000,Marshall_grid,True,12.5, ,3.0,61.878186,-162.085147,
P59,60244.0,331440.0,Marshall,AK-OP-006,221.0,Alaska Village Electric Cooperative,061-0000,Marshall_grid,True,12.5, ,3.0,61.878186,-162.085147,
P65,6335.0,331550.0,Pilot Station,AK-OP-006,221.0,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,True,13.47, ,3.0,61.936456,-162.880706,
P65,57058.0,331550.0,Pilot Station,AK-OP-006,221.0,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,True,13.47, ,3.0,61.936456,-162.880706,
P67,6338.0,331660.0,Saint Mary's,AK-OP-006,221.0,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,True,12.5, ,3.0,62.051525,-163.172567,
P60,6329.0,331470.0,Mountain Village,AK-OP-006,221.0,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,False,12.5, ,3.0,62.085569,-163.729072,
P127,6305.0,,Glennallen,AK-OP-103,4329.0,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,False,138.0,14.4,3.0,62.110415,-145.532529,
P84,6318.0,331350.0,Holy Cross,AK-OP-006,221.0,Alaska Village Electric Cooperative,049-0000,Holy Cross_grid,False,7.2,,3.0,62.19944,-159.77139,
P223,,332420.0,Nunam Iqua,AK-OP-068,,Nunam Iqua Electric Company,167-0000,Nunam Iqua_grid,True,7.2,,3.0,62.53361,-164.84111,
P32,7332.0,331070.0,Chistochina,AK-OP-005,219.0,Alaska Power & Telephone Company,026-2011,Slana_grid,False,7.2,,,62.565,-144.66472,
P27,61685.0,331195.0,Slana Generating Station ,AK-OP-005,219.0,Alaska Power & Telephone Company,026-2011,Slana_grid,True,12.47, ,3.0,62.592756,-143.588869,
P79,6310.0,331260.0,Anvik,AK-OP-006,221.0,Alaska Village Electric Cooperative,036-0000,Anvik_grid,True,7.2,,3.0,62.65611,-160.20667,
P94,6343.0,331620.0,Shageluk,AK-OP-006,221.0,Alaska Village Electric Cooperative,079-0000,Shageluk_grid,False,7.2,,1.0,62.68222,-159.56194,
P45,6308.0,331240.0,Alakanuk,AK-OP-006,221.0,Alaska Village Electric Cooperative,218-0000,Alakanuk_grid,False,13.47, ,3.0,62.6833,-164.6544,
P45,57053.0,331240.0,Alakanuk,AK-OP-006,221.0,Alaska Village Electric Cooperative,218-0000,Alakanuk_grid,False,13.47, ,3.0,62.6833,-164.6544,
P51,6314.0,331310.0,Emmonak,AK-OP-006,221.0,Alaska Village Electric Cooperative,045-0000,Emmonak_grid,True,12.5, ,3.0,62.777694,-164.531517,
P83,6317.0,331340.0,Grayling,AK-OP-006,221.0,Alaska Village Electric Cooperative,048-0000,Grayling_grid,False,7.2,,0.0,62.90361,-160.06472,
P38,7341.0,331160.0,Mentasta Lake,AK-OP-005,219.0,Alaska Power & Telephone Company,026-2011,Slana_grid,False,,,3.0,62.93155,-143.79273,
P198,6555.0,332220.0,McGrath,AK-OP-057,12119.0,Mcgrath Light & Power,143-0000,McGrath_grid,True,2.4, ,3.0,62.95699,-155.594997,
P25,7169.0,331180.0,Northway,AK-OP-005,219.0,Alaska Power & Telephone Company,012-0000,Northway_grid,False,14.4, ,,62.9617,-141.9372,
P247,,332580.0,Takotna,AK-OP-084,,Takotna Community Assoc Inc,182-0000,Takotna_grid,False,7.2,,3.0,62.98861,-156.06417,
P57,57064.0,332120.0,Kotlik,AK-OP-006,221.0,Alaska Village Electric Cooperative,059-0000,Kotlik_grid,True,13.47, ,3.0,63.03215,-163.553106,
P39,7371.0,331200.0,Tetlin,AK-OP-005,219.0,Alaska Power & Telephone Company,015-2008,Tok_grid,False,,,3.0,63.13722,-142.51611,
P44,60814.0,,7-Mile Ridge Wind Project,AK-OP-005,219.0,Alaska Power & Telephone Company,,,,,,,63.210689,-143.247156,Proposed
P29,406.0,331220.0,Tok,AK-OP-005,219.0,Alaska Power & Telephone Company,015-2008,Tok_grid,False,12.47, ,3.0,63.33552,-142.99997,
P73,6339.0,331670.0,Saint Michael,AK-OP-006,221.0,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,False,13.47, ,3.0,63.4775,-162.0383,
P73,57061.0,331670.0,Saint Michael,AK-OP-006,221.0,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,False,13.47, ,3.0,63.4775,-162.0383,
P74,6347.0,331680.0,Stebbins,AK-OP-006,221.0,Alaska Village Electric Cooperative,084-0000,Stebbins_grid,True,13.47, ,3.0,63.521047,-162.286322,
P74,57055.0,331680.0,Stebbins,AK-OP-006,221.0,Alaska Village Electric Cooperative,084-0000,Stebbins_grid,True,13.47, ,3.0,63.521047,-162.286322,
P68,6340.0,331590.0,Savoonga,AK-OP-006,221.0,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,True,13.47, ,3.0,63.695267,-170.475661,
P68,57052.0,331590.0,Savoonga,AK-OP-006,221.0,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,True,13.47, ,3.0,63.695267,-170.475661,
P52,6315.0,331320.0,Gambell,AK-OP-006,221.0,Alaska Village Electric Cooperative,046-0000,Gambell_grid,True,13.47, ,3.0,63.777058,-171.712439,
P52,57062.0,331320.0,Gambell,AK-OP-006,221.0,Alaska Village Electric Cooperative,046-0000,Gambell_grid,True,13.47, ,3.0,63.777058,-171.712439,
P150,6288.0,,Healy,AK-OP-104,7353.0,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,False,138.0, ,3.0,63.8542,-148.95,
P262,6299.0,332850.0,Unalakleet,AK-OP-098,40548.0,Unalakleet Valley Electric Cooperative,194-0000,Unalakleet_grid,True,4.0, ,3.0,63.876789,-160.790414,
P136,54834.0,,Fort Greely Power Plant,AK-OP-116,19272.0,Doyon Utilities Fort Greely,215-1985,Railbelt_grid,False,14.4, ,3.0,63.973572,-145.716581,
P14,58511.0,,Delta Wind Farm,AK-OP-113,58488.0,Alaska Environmental Power LLC,215-1985,Railbelt_grid,False,25.0, ,3.0,64.013889,-145.596667,
P36,7506.0,331130.0,Healy Lake,AK-OP-005,219.0,Alaska Power & Telephone Company,011-0000,Healy Lake_grid,False,2.4,,1.0,64.02689,-144.66162,
P147,56325.0,,Delta Power,AK-OP-104,7353.0,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,False,138.0, ,3.0,64.028056,-145.719444,
P148,57935.0,,Eva Creek Wind,AK-OP-104,7353.0,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,False,138.0, ,3.0,64.058333,-148.9,
P86,6322.0,331380.0,Kaltag,AK-OP-006,221.0,Alaska Village Electric Cooperative,054-0000,Kaltag_grid,True,7.2,,3.0,64.32722,-158.72194,
P95,6344.0,331630.0,Shaktoolik,AK-OP-006,221.0,Alaska Village Electric Cooperative,080-0000,Shaktoolik_grid,True,7.2,,3.0,64.33389,-161.15389,
P215,90.0,332340.0,Snake River,AK-OP-066,13642.0,Nome Joint Utility Systems,159-0000,Nome_grid,False,4.0, ,3.0,64.505331,-165.429814,
P153,,332000.0,Golovin,AK-OP-035,,Golovin Power Utilities,117-0000,Golovin_grid,True,7.2,,3.0,64.54333,-163.02917,
P50,6313.0,331300.0,Elim,AK-OP-006,221.0,Alaska Village Electric Cooperative,043-0000,Elim_grid,False,13.47, ,3.0,64.616558,-162.263717,
P50,57060.0,331300.0,Elim,AK-OP-006,221.0,Alaska Village Electric Cooperative,043-0000,Elim_grid,False,13.47, ,3.0,64.616558,-162.263717,
P268,50392.0,,Eielson AFB Central Heat & Power Plant,AK-OP-120,22199.0,US Air Force Eielson AFB,215-1985,Railbelt_grid,True,7.2, ,3.0,64.67141,-147.075988,
P272,,332890.0,White Mountain,AK-OP-101,,"White Mountain, City of",198-0000,WhiteMountain_grid,True,7.2,,3.0,64.68139,-163.40556,
P90,6332.0,331520.0,Nulato,AK-OP-006,221.0,Alaska Village Electric Cooperative,068-0000,Nulato_grid,False,7.2,,3.0,64.71944,-158.10306,
P151,6285.0,,North Pole,AK-OP-104,7353.0,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,False,138.0, ,3.0,64.7356,-147.3481,
P236,,332530.0,Ruby,AK-OP-080,,"Ruby, City of",178-0000,Ruby_grid,True,7.2,,3.0,64.73944,-155.48694,
P144,7437.0,331990.0,Galena Electric Utility,AK-OP-033,6915.0,"Galena, City of",115-0000,Galena_grid,False,4.16, ,3.0,64.74417,-156.8736,
P34,7375.0,331110.0,Eagle,AK-OP-005,219.0,Alaska Power & Telephone Company,009-0000,Eagle_grid,True,7.2,,3.0,64.78806,-141.2,
P146,57583.0,,Battery Energy Storage System,AK-OP-104,7353.0,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,False,138.0, ,3.0,64.8167,-147.725,
P137,50308.0,,Utility Plants Section,AK-OP-118,56389.0,Doyon Utilities Fort Wainwright,215-1985,Railbelt_grid,True,138.0, ,3.0,64.825601,-147.648627,
P109,79.0,,Aurora Energy LLC Chena,AK-OP-114,986.0,Aurora Energy LLC Chena,215-1985,Railbelt_grid,True,12.5, ,3.0,64.847743,-147.735063,
P149,6286.0,,Fairbanks,AK-OP-104,7353.0,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,False,69.0, ,3.0,64.854171,-147.719351,
P267,50711.0,,University of Alaska Fairbanks,AK-OP-127,19511.0,University of Alaska,215-1985,Railbelt_grid,True,69.0, ,3.0,64.854171,-147.822075,
P190,,332140.0,Koyukuk,AK-OP-049,,"Koyukuk, City of",136-0000,Koyukuk_grid,True,7.2,,3.0,64.88093,-157.70103,
P58,6325.0,331420.0,Koyuk,AK-OP-006,221.0,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,True,13.47, ,3.0,64.932089,-161.167103,
P58,57059.0,331420.0,Koyuk,AK-OP-006,221.0,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,True,13.47, ,3.0,64.932089,-161.167103,
P253,7171.0,332200.0,Manley,,11591.0,Manley Utility Co Inc,188-0000,Manley Hot Springs_grid,True,7.2,,3.0,65.00111,-150.63389,
P253,,332200.0,Manley Hot Springs,AK-OP-090,,TDX Manley Generating LLC,188-0000,Manley Hot Springs_grid,True,7.2,,3.0,65.00111,-150.63389,
P88,6328.0,331460.0,Minto,AK-OP-006,221.0,Alaska Village Electric Cooperative,063-0000,Minto_grid,True,7.2,,3.0,65.15333,-149.33694,
P249,,332600.0,Tanana,AK-OP-086,,Tanana Power Company Inc,184-0000,Tanana_grid,True,2.4,,3.0,65.17194,-152.07889,
